Ancestry,max_shovel_i1,max_labial_i1,max_distal_c,max_metacone_m1,max_hypocone_m1,max_carabelli_m1,mand_deflect_m1,mand_proto_m1,mand_cusp5_m1,mand_cusp6_m1,mand_cusp7_m1
CAAA,1,1,4,5,4,3,1,0,5,0,1
CAAA,0,1,4,5,5,6,99,1,4,0,4
CAAA,2,1,3,5,5,5,2,0,4,0,0
CAAA,2,2,4,5,5,6,99,0,4,3,3
CAAA,1,3,2,5,4,2,0,0,4,0,3
CAAA,99,99,0,5,4,0,0,0,5,0,0
CAAA,2,1,3,5,6,4,0,0,5,3,3
CAAA,2,0,4,5,4,4,99,99,5,0,0
CAAA,1,1,2,5,5,6,0,1,5,0,0
CAAA,0,2,3,5,5,5,0,0,5,2,0
CAAA,2,1,2,5,4,0,99,99,4,0,99
CAAA,0,1,3,5,4,0,2,1,5,0,0
CAAA,0,0,3,5,5,7,99,99,99,99,99
CAAA,2,1,2,5,4,0,0,1,4,0,1
CAAA,1,0,3,5,4,5,3,0,5,0,1
CAAA,1,3,5,5,4,99,0,0,99,99,1
CAAA,0,3,4,5,4,4,0,0,4,0,0
CAAA,0,1,1,5,6,7,0,1,5,0,0
CAAA,1,0,3,5,5,5,0,0,5,2,0
CAAA,2,1,4,4,4,2,0,0,5,0,0
CAAA,0,0,3,5,4,3,0,1,3,0,0
CAAA,0,1,0,5,4,2,99,1,5,0,99
CAAA,0,1,3,5,5,4,99,1,99,0,99
CAAA,1,1,0,6,6,6,99,1,4,2,2
CAAA,0,3,0,4,5,0,0,0,4,0,0
CAAA,0,0,3,5,4,2,0,1,3,0,0
CAAA,1,1,1,99,99,99,99,99,99,99,99
CAAA,0,1,1,5,5,5,1,0,5,0,0
CAAA,1,1,2,5,4,2,0,99,5,0,1
CAAA,1,0,4,5,5,5,3,1,5,0,0
CAAA,1,1,3,5,4,3,2,1,5,0,0
CAAA,0,2,2,4,4,0,99,1,5,0,0
CAAA,2,2,2,5,4,0,0,1,4,0,0
CAAA,2,3,3,6,99,5,99,99,4,0,0
CAAA,0,1,0,5,5,0,0,0,4,0,0
CAAA,1,1,99,5,5,99,2,0,4,0,0
CAAA,99,0,2,5,5,0,0,0,4,0,0
CAAA,0,1,0,5,5,0,99,99,5,0,1
CAAA,0,1,0,5,0,2,0,0,4,0,0
