"","max_shovel_i1","max_labial_i1","max_distal_c","max_metacone_m1","max_hypocone_m1","max_carabelli_m1","mand_deflect_m1","mand_proto_m1","mand_cusp5_m1","mand_cusp6_m1","mand_cusp7_m1"
"1",0,0,0,0,0,0,0,0,0,0,0
"2",-0.00359999999999983,-0.001,-0.00450000000000017,0.00640000000000002,0.00919999999999999,-0.000299999999999967,NA,0,-0.00370000000000001,-0.000799999999999967,-0.00099999999999989
"3",-0.000900000000000012,-0.00210000000000002,-0.00680000000000003,0.0119,0.0112,-0.00409999999999999,-0.00109999999999988,-0.00149999999999995,-0.0069,-0.00159999999999999,-9.9999999999989e-05
"4",-0.00240000000000001,-0.00219999999999998,-0.0111000000000001,0.0166,0.013,-0.00649999999999995,NA,-0.00309999999999999,-0.0101,0.00219999999999976,-0.00640000000000018
"5",-0.0081,-0.00429999999999975,-0.0088,0.0207,-0.0930000000000001,-0.00800000000000001,-0.000399999999999956,-0.00470000000000004,-0.0133,-0.0025,-0.0108999999999999
"6",NA,NA,-0.00459999999999994,0.0241,-0.1193,-0.00940000000000007,-0.00179999999999991,-0.00629999999999997,0.00549999999999995,-0.00329999999999997,-0.000800000000000023
"7",-0.0045,-0.00459999999999999,-0.0125999999999999,0.0271,0.1975,-0.00990000000000002,-0.00329999999999997,-0.00790000000000002,0.00419999999999998,0.00709999999999988,-0.0145
"8",-0.00600000000000001,-0.00459999999999994,-0.0163000000000002,0.0296,-0.1533,-0.0115,NA,NA,0.00290000000000001,-0.00419999999999998,-0.00170000000000003
"9",-0.0137,-0.00640000000000002,-0.0153,0.0317,0.0286,-0.0116000000000001,-0.00469999999999993,0.000299999999999967,0.00160000000000005,-0.005,-0.00290000000000001
"10",-0.0234999999999999,-0.0051000000000001,-0.019,0.0335,0.0291,-0.0157999999999999,-0.00609999999999999,-0.00939999999999996,0.000299999999999967,0.00600000000000001,-0.004
"11",-0.00830000000000003,-0.00840000000000002,-0.0186,0.035,-0.2045,-0.0189999999999999,NA,NA,-0.0342,-0.00579999999999997,NA
"12",-0.0301,-0.00940000000000002,-0.0219,0.0363,-0.2234,-0.0208999999999999,0.00120000000000009,0.000599999999999934,0.000299999999999967,-0.00659999999999999,-0.00509999999999999
"13",-0.0346,-0.0123,-0.024,0.0373,0.0372,-0.0151999999999999,NA,NA,NA,NA,NA
"14",-0.0101,-0.0113,-0.0238,0.0381,-0.2539,-0.0228999999999999,-0.00749999999999995,0.000799999999999912,-0.0407,-0.00739999999999996,-0.00930000000000003
"15",-0.0262,-0.0174,-0.0269,0.0387,-0.2701,-0.0217000000000001,0.00579999999999981,-0.0108,0.000199999999999978,-0.00819999999999999,-0.0101
"16",-0.0282,0.00310000000000032,-0.0326,0.0391,-0.2855,NA,-0.0089999999999999,-0.0124,NA,NA,-0.0109
"17",-0.0475999999999999,0.000300000000000189,-0.0383,0.0394,-0.3001,-0.0245,-0.0103,-0.0139,-0.047,-0.00900000000000001,-0.00819999999999999
"18",-0.0518999999999998,-0.0142,-0.0271,0.0395,0.4096,-0.0241,-0.0116999999999999,0.00099999999999989,-9.9999999999989e-05,-0.00969999999999999,-0.00929999999999997
"19",-0.0347,-0.0214,-0.0377,0.0396,0.0444,-0.0302,-0.0131,-0.0154,-0.00149999999999995,0.0072000000000001,-0.0104
"20",-0.0141,-0.0161,-0.0442,-0.6164,-0.3319,-0.0315,-0.0144,-0.0169,-0.00290000000000001,-0.0105,-0.0114
"21",-0.0612999999999999,-0.0264,-0.0433,0.0428,-0.3446,-0.0329,-0.0157999999999999,0.00119999999999987,-0.1158,-0.0113,-0.0125
"22",-0.0653999999999999,-0.0179,-0.0279999999999998,0.0424,-0.3568,-0.0349,NA,0.00139999999999985,-0.00119999999999998,-0.0121,NA
"23",-0.0695999999999999,-0.0189,-0.0448,0.0419,0.049,-0.0345,NA,0.00159999999999982,NA,-0.0128,NA
"24",-0.0448,-0.0199,-0.0327999999999999,0.7729,0.4738,-0.0339,NA,0.00190000000000001,-0.0657,0.00790000000000002,-0.0142
"25",-0.0767,0.00500000000000034,-0.0360999999999998,-0.6999,0.0448,-0.0417000000000001,-0.0172,-0.0182,-0.0684,-0.0136,-0.0139
"26",-0.0807,-0.0333,-0.0457,0.0402,-0.3931,-0.0413,-0.0185,0.00209999999999999,-0.1413,-0.0144,-0.0149
"27",-0.0509,-0.0223,-0.0431,NA,NA,NA,NA,NA,NA,NA,NA
"28",-0.0876999999999999,-0.0233,-0.0451,0.0394,0.0451,-0.0383,-0.00669999999999993,-0.0196,0.00209999999999999,-0.0151,-0.016
"29",-0.0548,-0.0243,-0.0474,0.0386,-0.4119,-0.0449,-0.0203,NA,0.000500000000000056,-0.0159,-0.0163
"30",-0.0567,-0.0407,-0.0487000000000002,0.0378,0.0452,-0.0408999999999999,0.0198,0.00229999999999997,-0.00109999999999999,-0.0167,-0.0177
"31",-0.0586,-0.0261,-0.0523,0.0369,-0.4298,-0.0466,0.00659999999999994,0.00249999999999995,-0.00270000000000004,-0.0174,-0.0188
"32",-0.1006,-0.00870000000000015,-0.0531,-0.7858,-0.4391,-0.0543,NA,0.00269999999999992,-0.00429999999999997,-0.0182,-0.0198
"33",-0.0206,-0.0107000000000002,-0.0545,0.0373,-0.4481,-0.0561,-0.0216999999999999,0.0028999999999999,-0.0896,-0.0189,-0.0209
"34",-0.0219,0.00360000000000005,-0.0563,0.8854,NA,-0.0432999999999999,NA,NA,-0.0921,-0.0197,-0.0219
"35",-0.1079,-0.0295,-0.0568,0.0329,0.0464,-0.0595000000000001,-0.0229999999999999,-0.0209,-0.0947,-0.0204,-0.023
"36",-0.0675,-0.0305,NA,0.0318,0.0452,NA,0.00669999999999993,-0.0224,-0.0973,-0.0212,-0.024
"37",NA,-0.0470999999999999,-0.0584,0.0306,0.0439,-0.0612999999999999,-0.0243,-0.0239,-0.0998,-0.0219,-0.025
"38",-0.1145,-0.0322,-0.0621999999999998,0.0295,0.0426,-0.0629999999999999,NA,NA,-0.00290000000000001,-0.0226,-0.0206
"39",-0.1182,-0.0332,-0.0652999999999999,0.0283,-2.5912,-0.0567,-0.0256,-0.0253,-0.1055,-0.0234,-0.0266999999999999
"40",-0.1218,-0.0342,-0.0577,0.0271,0.0475,-0.0448999999999999,-0.0268999999999999,-0.0267999999999999,-0.108,-0.00690000000000002,-0.0276999999999999
"41",0.0253000000000001,-0.0162,NA,-0.8832,-0.5026,-0.0515,-0.0104,-0.0282,-0.00370000000000004,-0.0243,-0.0028999999999999
"42",-0.1258,-0.0361,-0.0664,0.0265,0.0464,-0.0487,-0.0286,-0.0296,-0.1136,-0.0251,-0.024
"43",-0.1293,-0.0190000000000001,-0.064,0.0252,0.0449,-0.0510999999999999,0.00679999999999992,-0.0311,-0.005,-0.0258,-0.0206
"44",-0.1329,-0.0209000000000001,-0.0702,0.0239,0.0435,-0.0744,-0.0298999999999999,-0.0325,-0.00670000000000004,-0.0265,-0.0225
"45",-0.0276,-0.0549999999999999,-0.0664,0.0225,0.0421,-0.0761000000000001,-0.0312,0.00279999999999991,-0.1222,-0.0272,-0.0269
"46",-0.1381,-0.0584,-0.0799999999999998,-1.8823,0.0406,-0.0528999999999999,-0.0325,-0.0339,-0.241,-0.028,-0.03
"47",-0.0853,-0.0404,-0.0829,0.0232,0.0392,-0.0648,-0.0337999999999999,0.0028999999999999,-0.1264,-0.0287,-0.028
"48",-0.1442,-0.0414,-0.0775,0.0218,0.0377,-0.0817000000000001,-0.0349999999999999,-0.0352,-0.1288,-0.0294,-0.0316
"49",-0.0888,-0.0424,-0.0609,0.0203,0.0362,-0.0556999999999999,-0.0363,-0.0366,-0.1311,-0.0301,-0.0327
"50",-0.0905,-0.0434,-0.0629999999999999,0.0189,0.0347999999999999,-0.0634,-0.0375,-0.038,-0.00539999999999996,-0.0309,-0.0337
"51",-0.0922,-0.0222,-0.0651,0.0174,-0.5636,-0.0761,-0.0387999999999999,0.00299999999999989,-0.1365,-0.0316,-0.0255000000000001
"52",-0.0939,-0.0242,-0.0672,0.0159,-0.5697,-0.0657,-0.0399999999999999,-0.0393,-0.2707,-0.0323,-0.0311
"53",-0.0956,-0.0462,-0.0775,0.0144,0.0331,-0.0733,0.0363000000000002,0.00309999999999988,-0.00519999999999998,-0.033,-0.0356
"54",-0.1608,-0.0471,-0.0788,0.0129,0.0316,-0.0683,-0.0413,0.00329999999999986,-0.00700000000000001,-0.0337,NA
"55",-0.099,-0.0481,-0.0893,0.0114,0.0301,NA,-0.0155999999999999,-0.0406,-0.00890000000000002,-0.0344,-0.0196000000000001
"56",-0.0347,-0.0285,-0.1011,NA,NA,NA,NA,NA,NA,NA,NA
"57",-0.0361,-0.0304,-0.1039,0.00990000000000002,0.0285,-0.0569,-0.0429999999999999,0.00349999999999984,-0.1495,-0.0351,-0.0300000000000002
"58",-0.0374,-0.0693999999999999,-0.0582,0.00840000000000002,0.027,-0.0669999999999999,0.0107999999999999,0.00369999999999981,-0.1518,0.0122,-0.0354
"59",0.0276000000000001,-0.0516,-0.0739,0.00690000000000002,0.0254,-0.0693999999999999,0.0367000000000002,0.00390000000000001,-0.0105999999999999,-0.0358,-0.0354000000000001
"60",-0.1064,-0.0313000000000001,-0.0866,0.00530000000000003,-0.607,-0.0775,-0.0441999999999999,-0.0418,-0.157,-0.0365,-0.0375
"61",-0.1746,-0.0535,-0.1102,0.00380000000000003,0.0236999999999999,-0.1022,-0.0454,-0.0432,-0.0125,-0.0372,-0.037
"62",NA,-0.0544,NA,NA,NA,NA,NA,0.004,-0.1622,-0.0379,-0.038
"63",-0.1098,-0.0554,-0.1008,0.00219999999999998,0.0221,-0.1038,-0.0176999999999999,-0.0445,-0.1644,0.0125999999999999,-0.039
"64",-0.0425,-0.0563,-0.0895,0.000599999999999989,0.0205,-0.0662,0.0387,0.00409999999999999,-0.0145,0.0125,-0.04
"65",-0.0439,-0.0364,-0.0909,-0.000900000000000012,0.0189,-0.1063,-0.0470999999999999,-0.0458,-0.1696,0.0123,-0.0379
"66",-0.1836,-0.0384,-0.0785,-0.0025,0.0174,-0.0951,0.0108999999999999,0.00419999999999998,-0.0165,-0.0386,-0.0409
"67",-0.116,-0.0779,-0.0535000000000001,-1.0692,-0.6366,-0.0966,-0.0482999999999999,-0.0471,-0.1747,-0.0393,-0.0417999999999999
"68",-0.1176,-0.0598,-0.0632999999999999,-1.0758,-0.6415,-0.0907,0.0104,0.00439999999999996,-0.1769,-0.04,-0.0415000000000001
"69",-0.0469,-0.0608,-0.0911999999999999,-1.0824,-0.6463,-0.1146,-0.0496,-0.0484,-0.3394,-0.0407,-0.0431
"70",-0.1206,-0.0833999999999999,-0.102,-1.0888,-0.651,-0.1161,-0.0204,NA,-0.1806,-0.0143,-0.0441
"71",-0.0489,-0.0141999999999998,-0.1034,-0.00519999999999998,-0.6556,-0.1012,NA,-0.0497,-0.1827,0.0121,-0.0431000000000001
"72",-0.1237,-0.0861,-0.0858000000000001,-0.00679999999999997,-0.6602,-0.1198,-0.0511999999999999,-0.051,-0.3522,-0.0416,-0.0451
"73",-0.1996,-0.0892999999999999,-0.0989,-1.1062,-0.6647,-0.0855,-0.0522999999999999,-0.0523,-0.1864,-0.0423,-0.0458999999999999
"74",-0.1268,-0.0923999999999999,-0.109,-1.1122,-0.6692,-0.069,NA,0.00419999999999998,-0.1885,-0.0154,-0.0468999999999999
"75",-0.205,-0.0954999999999999,-0.1103,-1.118,-0.6736,-0.0987,-0.0535,-0.0536,-0.1906,-0.0432,-0.0478
"76",-0.13,-0.0658,-0.1291,-0.00969999999999999,-0.6779,-0.1265,-0.0547,-0.0549,-0.5442,-0.0438,-0.0454000000000001
"77",-0.0528,-0.0997,-0.0928000000000002,-1.129,0.0115,-0.1004,-0.0226,-0.0561,-0.1937,-0.0445,-0.0491
"78",-0.1329,-0.1027,-0.1147,-1.1345,-0.6863,-0.1113,0.00960000000000005,-0.0574,-0.0149,-0.0452,-0.0457000000000001
"79",-0.0549,-0.1057,-0.116,-1.1399,-0.6905,-0.093,0.0409999999999999,-0.0587,-0.3803,0.012,-0.05
"80",-0.1359,-0.1087,NA,-0.0129,0.00869999999999993,-0.0649,-0.0562999999999999,-0.06,-0.2,-0.0459,-0.051
"81",-0.1374,-0.0695,-0.1173,-1.1502,-0.6987,-0.1344,0.00930000000000009,-0.0612,-0.3881,-0.0173,-0.0507
"82",-0.0576,-0.1127,-0.1092,-1.1554,-0.7027,-0.0893999999999999,-0.0245,-0.0625,-0.392,-0.0468,-0.0517
"83",-0.059,-0.0711,-0.1113,-0.0157,-0.7067,-0.0917999999999999,-0.0579,-0.0637,-0.205,-0.0474,-0.0524
"84",0.0212000000000001,-0.0274000000000001,-0.1224,-1.1652,-0.7106,-0.139,0.0411999999999999,-0.065,-0.2071,-0.0481,-0.0528999999999999
"85",-0.2239,-0.0729,-0.1237,-1.1702,0.00459999999999994,-0.0754999999999999,-0.0590999999999999,-0.0662,-0.2091,-0.0488,-0.054
"86",-0.0626,-0.1176,-0.1155,-1.175,-1.4396,-0.1405,-0.0257999999999999,-0.0674,-0.2112,-0.0494,-0.0545
"87",-0.2282,-0.0745,-0.1269,-1.1798,-0.722,-0.0987,0.0417000000000001,-0.0687,-0.2132,-0.0501,-0.0548999999999999
"88",-0.1475,-0.1215,-0.1187,-0.02,0.00249999999999995,-0.1435,-0.0263,-0.0699,-0.0161,-0.0508,-0.0562
"89",0.0193000000000001,-0.1244,-0.1487,-1.189,-0.7295,-0.1185,-0.0610999999999999,-0.0711,-0.0182,-0.0514,-0.0582000000000003
